;westers_adj_periods 2-grams in 1884;westers_adj_periods 2-grams count in 1884;total 2-grams in 1884;westers_adj_periods 2-grams in 1894;westers_adj_periods 2-grams count in 1894;total 2-grams in 1894;westers_adj_periods 2-grams in 1904;westers_adj_periods 2-grams count in 1904;total 2-grams in 1904;westers_adj_periods 2-grams in 1914;westers_adj_periods 2-grams count in 1914;total 2-grams in 1914;westers_adj_periods 2-grams in 1924;westers_adj_periods 2-grams count in 1924;total 2-grams in 1924;westers_adj_periods 2-grams in 1934;westers_adj_periods 2-grams count in 1934;total 2-grams in 1934;westers_adj_periods 2-grams in 1944;westers_adj_periods 2-grams count in 1944;total 2-grams in 1944;westers_adj_periods 2-grams in 1954;westers_adj_periods 2-grams count in 1954;total 2-grams in 1954;westers_adj_periods 2-grams in 1964;westers_adj_periods 2-grams count in 1964;total 2-grams in 1964;westers_adj_periods 2-grams in 1974;westers_adj_periods 2-grams count in 1974;total 2-grams in 1974;westers_adj_periods 2-grams in 1984;westers_adj_periods 2-grams count in 1984;total 2-grams in 1984;westers_adj_periods 2-grams in 1994;westers_adj_periods 2-grams count in 1994;total 2-grams in 1994
0;westersche mogendheden;138;988;westersche beschaving;37;844;westersche beschaving;136;2509;zeemeeuw westers;242;6828;westersche beschaving;139;4662;westersch lager;560;14329;westersche mogendheden;477;8751;westerse unie;930;18512;westerse landen;1234;32831;westerse landen;2036;38672;westerse landen;6496;92296;westerse landen;6423;125810
1;der westersche;74;;der westersche;37;;der westersche;78;;johanna westers;238;;der westersche;128;;openb westersch;388;;der westersche;323;;westerse mogendheden;822;;westerse wereld;1224;;westerse wereld;1325;;westerse wereld;2585;;westerse wereld;2742;
2;westersche beschaving;49;;westersche mogendheden;25;;anna westers;47;;antilope westers;169;;westersche mogendheden;101;;westersche beschaving;383;;westerse mogendheden;252;;der westerse;719;;westerse mogendheden;601;;voor westerse;542;;westerse industrielanden;1456;;westerse diplomaten;2185;
3;westersche begrippen;19;;westersche begrippen;16;;groningen westers;45;;westersche beschaving;149;;westersche landen;66;;der westersche;298;;westersche beschaving;247;;westerse wereld;575;;voor westerse;503;;onze westerse;421;;westerse diplomaten;1383;;voor westerse;1922;
4;voor westersche;12;;voor westersche;15;;voor westersche;31;;neptunus westers;148;;westersche cultuur;62;;westersche cultuur;234;;westersche cultuur;187;;westerse defensie;573;;der westerse;409;;westerse oliemaatschappijen;369;;voor westerse;1296;;volgens westerse;1376;
5;onze westersche;11;;westersche volken;15;;westersche mogendheden;27;;groningen westers;126;;noordster westers;57;;onze westersche;183;;westersche democratieën;131;;westerse landen;360;;westerse beschaving;399;;westers wilt;331;;volgens westerse;933;;westerse industrielanden;1208;
6;westersche volken;9;;westersche spoorwegen;15;;elisabeth westers;27;;anna westers;105;;onze westersche;54;;westersche mogendheden;156;;voor westersche;113;;zoeklicht westerse;352;;westerse cultuur;325;;westerse mogendheden;327;;westerse waarnemers;650;;westerse cultuur;1161;
7;twee westersche;9;;onze westersche;14;;westersche begrippen;20;;alberdina westers;93;;voor westersche;47;;westersche landen;138;;westersche landen;101;;voor westerse;306;;paul westers;264;;westerse beschaving;318;;westerse cultuur;645;;westerse diplomaat;850;
8;zijn westersche;7;;oostersche westersche;11;;westersche landen;20;;westers hamburg;86;;antilope westers;41;;voor westersche;124;;ida westers;79;;westerse beschaving;275;;onze westerse;246;;westerse cultuur;311;;westerse journalisten;639;;westerse gijzelaars;783;
9;westersche toestanden;6;;hendrika westers;8;;onze westersche;18;;der westersche;84;;westers hamburg;32;;zeemeeuw westers;107;;groote westersche;77;;westerse cultuur;169;;zijn westerse;196;;westerse journalisten;301;;onze westerse;611;;zijn westerse;755;
